original question,answer,generated answer,retrieved chunks id,context_id,contextualized query,latency
What is the penalty for not returning a library book on time?,Confiscation of the COR for 3 days to 1 week.,"Based on my data from the Student Handbook 2021, if a library book is not returned on time, the valid Certificate of Registration (COR) will be confiscated for a period of 3 days to 1 week, excluding weekends and class suspensions due to inclement weather. The librarian also reserves the discretion to suspend library privileges for habitual offenders. If a book is lost, it must be reported immediately and replaced with the latest edition of the same title, or an acceptable related title if unavailable.","['earist_library_circulation_loans_penalties', 'earist_library_services_operations_contacts', 'earist_handbook_art_vii_disciplinary_sanctions', 'glossary_definitions_part_2_abbreviations', 'earist_handbook_2021_student_classification_attendance']",earist_library_circulation_loans_penalties,What is the penalty for not returning a library book on time?,4.7971
,,,,,,
How long can an LOA last?,Typically it does not exceed one academic year.,"Based on my data from the Student Handbook 2021, an LOA (Leave of Absence) can typically last up to one academic year. However, leaves beyond two years may result in the loss of residency status. It's important to note that studying in another school during an LOA is prohibited. If you have any further questions or need clarification on any aspect of the LOA policy, please don't hesitate to ask!","['earist_handbook_2021_retention_tenure_scholastic_delinquency', 'srrms_application_leave_of_absence', 'srrms_enrollment_irregular_returnee_onsite', 'earist_handbook_2021_transferees_pledge_readmission', 'earist_library_circulation_loans_penalties']",srrms_application_leave_of_absence,How long can an LOA last?,3.996
What is the fee for a Transcript of Records (TOR) request?,₱100.00 per page plus ₱25.00 for a security envelope.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the fee for a Transcript of Records (TOR) request is 100.00 per page. However, the first copy for new graduates who are first-time job seekers is provided for free.","['srrms_tor_automated_2011_present', 'srrms_tor_manual_2010_below', 'srrms_honorable_dismissal_transfer_credentials', 'financial_management_services_student_clearance', 'srrms_subject_crediting_equivalency']",srrms_tor_automated_2011_present,What is the fee for a Transcript of Records (TOR) request?,2.9225
Can a representative claim my TOR?,"Yes, they need an Authorization Letter and ID photocopies.","Yes, a representative can claim your Transcript of Records (TOR) on your behalf. However, they will need to present an 'Authorization Letter' along with a photocopy of your ID for verification purposes. The representative should also bring the 'Duly accomplished application form with Clearance', your 'School ID', and an 'Official Receipt' for the payment of fees. The total time for processing a TOR request through the automated module is 5 working days and 38 minutes.","['srrms_tor_automated_2011_present', 'srrms_subject_crediting_equivalency', 'srrms_honorable_dismissal_transfer_credentials', 'srrms_tor_manual_2010_below', 'sarms_admissions_credential_evaluation_verification']",srrms_tor_automated_2011_present,Can a representative claim my TOR?,3.8651
How long does it take to process a TOR?,5 working days.,"Based on my data from the EARIST Citizen's Charter 2025, the processing time for a Transcript of Records (TOR) varies depending on the module used. For students with a student number from 2011 to the present, the automated module processes TOR requests in 5 working days and 38 minutes. However, for alumni with student numbers from 2010 and below, the manual module is used, which takes 6 working days and 38 minutes due to the archival nature of the records.

I hope this information helps clarify the process for you. If you have any other questions or need further assistance, please don't hesitate to ask!","['srrms_subject_crediting_equivalency', 'srrms_tor_automated_2011_present', 'srrms_tor_manual_2010_below', 'financial_management_services_student_clearance', 'srrms_honorable_dismissal_transfer_credentials']",srrms_tor_automated_2011_present,How long does it take to process a TOR?,4.6433
What is a 'CAV' request?,"Certification, Authentication, and Verification of academic records.","A 'CAV' request stands for Certification, Authentication, and Verification. This is a service provided by the EARIST Student Registration and Records Management Services (SRRMS) for students who need to certify or authenticate their academic records for local or overseas employment purposes. The process involves presenting your original documents, a School ID, and an Official Receipt to the SRRMS Frontliner for verification and payment. After payment, the documents are authenticated and released to the student or their authorized representative. The total processing time is approximately 4 working days and 38 minutes. This service is crucial for ensuring that EARIST-issued documents are recognized by other agencies and employers.","['srrms_certification_authentication_verification', 'sarms_special_academic_requests_overload_cross_enrollment', 'srrms_tor_automated_2011_present', 'vpaa_colleges_program_curriculum', 'srrms_tor_manual_2010_below']",srrms_certification_authentication_verification,What is a 'CAV' request?,4.5989
,,,,,,
What is the wage for a student assistant?,₱30/hr for non-technical and ₱75/hr for technical skills.,"Based on my data from the Student Handbook 2021, a student assistant is paid a wage of P30.00 per hour for non-technical skills. If the student assistant is performing technical skills, they will be paid a wage of P75.00 per hour.","['earist_handbook_2021_fees_refunds_financial_assistance', 'sarms_personnel_assignments_and_manpower', 'earist_library_personnel_specific_roles_and_descriptions', 'ccje_faculty_staff_directory_complete', 'glossary_definitions_part_1']",earist_handbook_2021_fees_refunds_financial_assistance,What is the wage for a student assistant?,3.6542
Can I have two scholarships at the same time?,"No, the Institute enforces a 'No Dual Scholarship' policy.","Based on my data from the EARIST Student Handbook 2021 and the EARIST Citizen's Charter 2025, I cannot find information that allows students to have two scholarships at the same time. The Student Handbook states under Article IV, Section 6, that a student shall not enjoy more than one scholarship or grant simultaneously. If you are currently receiving a scholarship and believe you may be eligible for another, I would recommend contacting the Office of Student Affairs (OSAS) for guidance. They can help you understand the specific details of each scholarship program and determine the best course of action.","['earist_handbook_2021_fees_refunds_financial_assistance', 'srrms_cross_enrollment_procedure', 'earist_handbook_2021_scholarship_qualifications', 'financial_management_services_statement_of_account', 'earist_handbook_art_x_sec_8_to_10_off_campus_fundraising_advisers']",earist_handbook_2021_fees_refunds_financial_assistance,Can I have two scholarships at the same time?,4.5939
What are the components of the male uniform?,Maroon short-sleeved polo and beige slacks.,"Based on my data from the EARIST subject curriculum and the Uniform Policy, the components of the male uniform for the Bachelor of Science in Industrial Technology Major in Fashion and Apparel Technology at EARIST include:

1. A Maroon Short Sleeves Polo as the upper garment.
2. Beige Slacks as the lower garment.
3. The Earist Logo Pin.
4. The Earist Logo Patch.
5. The official College I.D. Lace.
6. The I.D. Card.

These components ensure proper institutional identification and adherence to the dress code.","['earist_institutional_uniform_components_list', 'uniform_shop_price_list_complete', 'earist_handbook_art_vi_sec_1_to_3_2_conduct_uniform_id', 'earist_handbook_art_vi_sec_3_3_grooming_curfew_behavior', 'subject curriculum_earist_bsit_fashion_apparel_technology']",earist_institutional_uniform_components_list,What are the components of the male uniform?,5.7467
What are the components of the female uniform?,Beige short-sleeved blouse and maroon slacks.,"Based on my data from the EARIST subject curriculum and the Student Handbook 2021, the female institutional uniform at EARIST consists of the following components:

1. A Beige Short Sleeves Blouse as the upper garment.
2. Maroon Slacks as the lower garment.
3. The Earist Logo Pin.
4. The Earist Logo Patch.
5. The College I.D. Lace.
6. The I.D. Card.

These components ensure proper identification and adherence to the dress code.","['earist_institutional_uniform_components_list', 'uniform_shop_price_list_complete', 'earist_handbook_art_vi_sec_1_to_3_2_conduct_uniform_id', 'earist_handbook_art_vi_sec_3_3_grooming_curfew_behavior', 'subject curriculum_earist_bsit_fashion_apparel_technology']",earist_institutional_uniform_components_list,What are the components of the female uniform?,3.1297
Where is the Medical Clinic located?,Ground floor of the Apilado Building.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the Medical Clinic is located on the 1st Floor of the CEAFA Building at EARIST. If you have any further questions or need assistance with locating other services or offices, please don't hesitate to ask!","['medical_dental_services_regular_consultation', 'medical_dental_services_ojt_medical_certificate', 'medical_dental_services_pre_enrollment_freshmen', 'earist_campus_directory_office_locations', 'medical_dental_services_annual_physical_exam']",earist_main_campus_office_directory_2025,Where is the Medical Clinic located?,3.5771
Who handles formal student complaints?,The Student Discipline Board (SDB).,"Based on my data from the EARIST Citizen's Charter 2025 and the Student Handbook 2021, the Office of Student Affairs and Services at EARIST handles formal student complaints. Specifically, the Student Discipline Board (SDB) is responsible for investigating and resolving these complaints. If you have a formal complaint, you should submit a Complaint Letter and any relevant proof and evidence to a Member of the Student Discipline Board. The SDB will then conduct a hearing to gather facts and prepare a resolution, which will be submitted to the Office of the Vice President for Academic Affairs for the Institute President's final approval. Once approved, you may secure a copy of the resolution from an SDB Member. This process ensures that grievances are addressed professionally within a total processing time of 2 hours and 50 minutes. There are no fees associated with filing a complaint or participating in an investigation at EARIST.","['glossary_definitions_part_2_abbreviations', 'earist_gov_board_of_trustees_composition', 'sas_complaints_and_investigation_process', 'vpaa_colleges_student_complaints', 'earist_handbook_art_vii_disciplinary_sanctions']",sas_complaints_and_investigation_process,Who handles formal student complaints?,6.2324
What is the processing time for a student complaint at the college level?,3 days.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the verification and initial handling of a student complaint at the college level takes 3 days.","['vpaa_colleges_student_complaints', 'vpaa_colleges_course_adjustments', 'vpaa_colleges_admission_enrollment_interview', 'vpaa_colleges_excess_overload_units', 'vpaa_colleges_completion_of_grade']",vpaa_colleges_student_complaints,What is the processing time for a student complaint at the college level?,2.1877
